"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"616187",,"552","Guarulhos (Parque Santos Dumont) / Sao Paulo ( Metro Armenia)",,"3",,,
"617062",,"055","Cajamar (Centro) / Sao Paulo (Lapa)",,"3",,,
"618046",,"121","Guarulhos (Terminal Urbano Guarulhos) / Sao Paulo (Penha)",,"3",,,
"618253",,"181","Carapicuiba (Parque Santa Tereza) / Sao Paulo (Lapa)",,"3",,,
"626129",,"497","Carapicuiba (Vila Dirce) / Santana de Parnaiba (Tambore 11 - Itayhe)",,"3",,,
"626148",,"478BI1","Guarulhos (Jardim das Nacoes) / Sao Paulo (Metro Armenia)",,"3",,,
"626175",,"248","Guarulhos (Parque Santos Dumont) / Sao Paulo (Metro Penha)",,"3",,,
"626277",,"203","Osasco (Bel Jardim) / Sao Paulo (Lapa)",,"3",,,
"626371",,"459","Embu das Artes (Terminal Casa Branca) Sao Paulo (Itaim Bibi)",,"3",,,
"630010",,"301","Itaquaquecetuba (Rancho Grande) / Guarulhos (Jardim Santa Mena)",,"3",,,
"632009",,"315","Poa (Terminal Rodoviario Ayrton Senna) / Sao Paulo (Estacao Cptm Itaim Paulista)",,"3",,,
"632037",,"156VP1","Diadema (Eldorado) Sao Bernardo do Campo (Paco Municipal)",,"3",,,
"633035",,"372","Suzano (Vila Amorim) / Mogi das Cruzes (Jardim Piata)",,"3",,,
"633047",,"256","Cotia (Caucaia do Alto) / Cotia (Portao)",,"3",,,
"633236",,"948","Sao Vicente (Parque das Bandeiras Gleba II) / Santos (Ponta da Praia)",,"3",,,
"634014",,"811","Embu-Guacu (Chacara Florida) / Itapecerica da Serra (Valo Velho)",,"3",,,
"634048",,"022","Carapicuiba (Vila Dirce) / Osasco (Vila Yara)",,"3",,,
"634145",,"480","Aruja (Parque Rodrigo Barreto) / Poa (Terminal Rodoviario Ayrton Senna)",,"3",,,
"634275",,"575","Guarulhos (Terminal Urbano Guarulhos) / Sao Paulo (Metro Armenia)",,"3",,,
"636163",,"936","Cubatao (Cota 200) Santos (Ponta da Praia)",,"3",,,
"638055",,"394","Biritiba Mirim (Jardim dos Eucaliptos) / Mogi das Cruzes (Centro)",,"3",,,
"638308",,"937DV1","Praia Grande (Terminal Rodoviario e Urbano Tatico Francisco Gomes da Silva) / ",,"3",,,
"639032",,"241","Taboao da Serra (Parque Jacaranda) / Sao Paulo (Pinheiros)",,"3",,,
"639044",,"435","Itaquaquecetuba (Terminal Urbano Engenheiro Manoel Feio) / Sao Paulo (Estacao Cptm - Guaianazes)",,"3",,,
"639145",,"930","Guaruja (Ferry Boat) / Bertioga (Riviera de Sao Lourenco)",,"3",,,
"640169",,"934EX1","Praia Grande (Terminal Rodoviario e Urbano Tatico Francisco Gomes da Silva) / Santos (Paqueta)",,"3",,,
"640276",,"509","Vargem Grande Paulista (Parque do Agreste) / Cotia (Terminal Metropolitano Cotia)",,"3",,,
"642024",,"053BI1","Osasco (Jardim Colinas D Oeste) / Sao Paulo (Lapa)",,"3",,,
"642108",,"549","Aruja (Mirante) Sao Paulo (Sao Miguel Paulista)",,"3",,,
"642251",,"937","Praia Grande (Term Rod. Urb. Tatico Francisco Gomes da Silva) / Sao Vicente (Samarita)",,"3",,,
"643291",,"227","Guarulhos (Jardim Leblon) / Sao Paulo (Metro Armenia)",,"3",,,
"643325",,"352","Santana de Parnaiba (Cidade de Sao Pedro) / Sao Paulo (Lapa)",,"3",,,
"643352",,"331","Caieiras (Laranjeiras) / Sao Paulo (Terminal Rodoviario Barra Funda)",,"3",,,
"643508",,"300","Taboao da Serra (Jardim Sao Judas Tadeu) / Sao Paulo (Pinheiros)",,"3",,,
"643586",,"484","Embu das Artes (Jardim Santo Eduardo) / Sao Paulo (Metro Capao Redondo)",,"3",,,
"647074",,"415","Santa Isabel (Monte Serrat) Guararema (Chacara Guanabara)",,"3",,,
"648069",,"555","Guarulhos (Jardim Itapoa) / Sao Paulo (Metro Armenia)",,"3",,,
"649001",,"191","Taboao da Serra (Parque Pinheiros) Sao Paulo (Clinicas)",,"3",,,
"649057",,"949DV1","Guaruja (Ferry Boat) / ",,"3",,,
"651026",,"042VP1","Mairipora (Terminal Rodoviario Siguemi Aiacyda) / Sao Paulo (Terminal Rodoviario Tiete)",,"3",,,
"653003",,"011","Guarulhos (Parque Continental II) / Sao Paulo (Metro Armenia)",,"3",,,
